"AGEGE24","PCT_BLACK","PCT_HISPANIC","PCT_GRAD_PROF","PCT_BORN_US","MEDIAN_HH_INC","UNEMP_RATE","SD_EARN_WNE_P10","COUNT_WNE_INDEP0_P10","PCT75_EARN_WNE_P6","COUNT_WNE_INDEP0_INC1_P6","COUNT_WNE_MALE0_P6","PCT10_EARN_WNE_P8","COUNT_NWNE_P9","GT_25K_P9","Aggrcluster_labels"
0.469999999,44.34000015,3.430000067,6.190000057,96.16999817,46467.08,4.360000134,12500,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,13,0.602409554380489,1
0.100000001,6.869999886,3.130000114,5.940000057,96.81999969,48616.43,3.190000057,36500,166,41100,31,97,10900,14,0.719101131,1
0.660000026,45.25,2.900000095,6.170000076,96.76999664,44157.53,4.429999828,16200,1005.53873317149,42605.7426151622,246.163120567376,39,7870.1794231206,25,0.207547173,1
0.49000001,5.639999866,6.389999866,4.960000038,93.16000366,44415.8,3.210000038,13600,1005.53873317149,42605.7426151622,10,2870.90384615385,7870.1794231206,33,0.183908045,1
0.159999996,7.809999943,5.21999979,8.479999542,94.62999725,52450.53,3.799999952,44800,2445,52800,429,1629,10400,362,0.764666438,2
0.150000006,52.70000076,3.940000057,5.139999866,96.37999725,42634.24,5.320000172,21800,940,32700,425,690,4700,135,0.546875,1
0.439999998,5.269999981,1.870000005,5.010000229,97.63999939,47850.96,4.239999771,25400,691,35600,209,874,5200,251.583178726036,0.602409554380489,1
0.310000002,13.94999981,1.929999948,5.170000076,98.04000092,42159.88,3.75,27700,2332,40400,757,2474,7100,782,0.630852044,1
0.25999999,5.539999962,3.650000095,4.940000057,96.66000366,43602.11,3.450000048,28400,1473,41200,474,1304,7100,236,0.656519234,1
0.300000012,32.63999939,2.849999905,3.880000114,97.66000366,39642.34,4.650000095,26000,826,37200,352,696,6400,135,0.625142872,1
0.469999999,22.28000069,1.789999962,5.360000134,97.55000305,47817.42,3.869999886,13300,67,25500,38,2870.90384615385,1700,41,0.254716992,1
0.709999979,20.92000008,1.929999948,6.190000057,97.41999817,50522.63,3.690000057,25900,47,58800,26,405,13600,26,0.731707335,3
0.479999989,1.480000019,0.99000001,3.970000029,98.87000275,38741.83,3.460000038,20000,337,35900,168,549,5500,154,0.516286671,1
0.129999995,16.56999969,2.50999999,6.150000095,97.20999908,48705.91,3.650000095,30000,2678,43400,646,1462,8800,281,0.711796224,1
0.289999992,12.46000004,2.980000019,5.690000057,97.05999756,50351.38,3.410000086,44900,124,43800,31,108,5600,18,0.662921369,1
0.49000001,12.60999966,9.170000076,3.039999962,93.43000031,40394.08,3.140000105,22500,115,30800,81,338,3400,72,0.442231089,1
0.07,7.269999981,2.289999962,4.800000191,97.83000183,43531.15,3.460000038,21900,1005.53873317149,42605.7426151622,17,35,7870.1794231206,13,0.597826064,1
0.629999995,39.31999969,2.539999962,3.339999914,99.09999847,36585.52,4.96999979,18500,87,27500,55,99,2900,65,0.362573087,1
0.389999986,40.79999924,3.150000095,3.380000114,99.16000366,36763.69,5.320000172,19800,357,29600,204,355,4200,119,0.424015015,1
0.620000005,37.54000092,2.789999962,6.260000229,96.72000122,47009.67,4.429999828,14100,143,27300,69,685,3400,168,0.346590906,1
0.479999989,32.25999832,2.329999924,6.429999828,97,50392.05,3.690000057,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,9,0.602409554380489,1
0.49000001,7.570000172,2.670000076,5.679999828,96.93000031,42516.37,2.910000086,19900,327,34500,190,700,4300,159,0.500717342,1
0.479999989,2.190000057,1.350000024,4.5,98.51000214,41751.68,3.49000001,23500,252,37600,93,426,4800,120,0.481999993,1
0.07,8.899999619,5.730000019,8.180000305,94.29000092,61757.88,3.650000095,40600,1195,47800,115,629,10600,155,0.723137259,2
0.180000007,16.47999954,4.300000191,5.699999809,96.33000183,45548.96,3.289999962,30100,760,37200,255,633,9100,119,0.695319176,1
0.01,11.77000046,5.559999943,11.05000019,93.79000092,63550.03,3.200000048,32700,1005.53873317149,43500,38,154,11000,24,0.738461554,3
0.469999999,8.449999809,2.309999943,5.630000114,97.37000275,44560.1,2.799999952,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,32,0.217391297,1
0.529999971,31.44000053,1.320000052,3.970000029,98.52999878,44278.02,3.970000029,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,1,0.602409554380489,1
0.409999996,5.010000229,6.519999981,7.420000076,94.12000275,56884.69,2.920000076,44800,347,56900,61,380,12800,88,0.78628391,2
0.379999995,2.24000001,8.609999657,7.849999905,92.26000214,50797.95,3.410000086,19200,1005.53873317149,26800,13,2870.90384615385,7870.1794231206,18,0.602409554380489,1
0.649999976,3.400000095,5.300000191,4.440000057,95.51000214,43968.6,3.549999952,29139.2573970219,1005.53873317149,21000,246.163120567376,2870.90384615385,7870.1794231206,10,0.602409554380489,1
0.460000008,46.43000031,1.5,3.980000019,98.44999695,41452.41,4.28000021,20000,225,30300,144,488,5200,85,0.432432443,1
0.430000007,25.26000023,2.039999962,3.609999895,98.56999969,37938.88,4.630000114,24800,383,36600,237,467,4500,206,0.410052896,1
0.479999989,41.13000107,2.339999914,6.5,96.97000122,45287.22,4.400000095,13800,1005.53873317149,42605.7426151622,12,2870.90384615385,7870.1794231206,21,0.25373134,1
0.449999988,0.99000001,2.660000086,3.799999952,97.51999664,39024.26,3.039999962,21100,380,33400,201,551,4700,237,0.493741304,1
0.589999974,1.480000019,8.140000343,7.329999924,92.73000336,48871.29,3.640000105,24100,43,42000,29,67,4700,60,0.569444418,1
0.01,12.77999973,7.630000114,7.510000229,93.31999969,61306.22,3.160000086,34200,1005.53873317149,43400,75,216,8800,54,0.688524604,3
0.529999971,11.88000011,1.570000052,4.940000057,98.16999817,46122.57,2.970000029,21600,161,35900,85,299,5800,81,0.450160772,1
0.560000002,0.629999995,1.019999981,4.019999981,98.94000244,34796.93,2.539999962,23500,150,31900,79,377,3500,122,0.487096786,1
0.079999998,6.570000172,7.28000021,5.840000153,94.31999969,51329.59,3.480000019,25800,174,38400,48,114,11100,41,0.616113722,1
0.449999988,6.329999924,2.349999905,5.289999962,97.69000244,44557.97,3.660000086,24600,333,38000,152,549,4400,161,0.488773733,1
0.230000004,46.15999985,4.929999828,6.199999809,95.18000031,45434.78,5.079999924,20800,213,33200,82,137,5000,53,0.515789449,1
0.389999986,44.65999985,1.460000038,3.660000086,98.91999817,34872.94,4.909999847,19000,314,28700,195,411,4100,198,0.359177202,1
0.540000021,43.79999924,1.24000001,4.480000019,98.44999695,42805.78,4.670000076,20300,239,32200,135,516,4300,136,0.512562811,1
0.419999987,33.75,1.090000033,4.21999979,98.79000092,39190.14,4.059999943,29139.2573970219,1005.53873317149,42605.7426151622,10,2870.90384615385,7870.1794231206,16,0.150943398,1
0.620000005,32.43000031,2.480000019,7.050000191,96.65000153,50007.22,3.829999924,22500,839,34500,326,2042,5200,294,0.572463751,1
0.430000007,28.75,4.679999828,3.859999895,96.02999878,38791.69,3.650000095,21100,256,34200,134,384,3700,99,0.454545468,1
0.460000008,0.340000004,3.779999971,4.010000229,97.09999847,35544.46,2.890000105,19300,131,31500,97,213,3100,102,0.425170064,1
0.540000021,1.870000005,6.269999981,8.880000114,93.73000336,47966.62,4.429999828,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,17,0.602409554380489,1
0.540000021,7.010000229,1.5,4.619999886,98.44000244,42041.01,5.599999905,13700,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,27,0.13333334,1
0.129999995,6.099999905,1.700000048,4.630000114,98.18000031,42485.2,3.380000114,24700,218,37600,50,108,9200,34,0.666666687,1
0.550000012,32.06999969,1.769999981,4.199999809,98.22000122,40724.53,4.079999924,24100,176,39200,82,446,6200,70,0.523809552,1
0.219999999,28.75,3.559999943,4.610000134,97.12999725,42416.87,4.050000191,26800,709,41200,257,526,7200,142,0.690476179,1
0.430000007,34.47999954,1.460000038,3.74000001,98.69000244,39761.28,4.460000038,24800,120,35800,84,233,4300,65,0.510822535,1
0.360000014,3.970000029,4.769999981,4.760000229,95.13999939,45327.2,3.24000001,25900,999,40600,382,1303,6800,283,0.576534569,1
0.439999998,8.25,15.34000015,11.53999996,79.75,74015.06,3.349999905,43500,1211,44200,248,2164,4800,388,0.647058845,2
0.550000012,11.01000023,38.47999954,6.630000114,72.38999939,61944.01,4.650000095,24600,58,38400,21,60,4700,74,0.556420207,3
0.529999971,29.29999924,19.92000008,11.27000046,73.61000061,61895.48,4.659999847,26100,1005.53873317149,33000,16,2870.90384615385,7870.1794231206,25,0.421052635,1
0.400000006,22.75,18.20999908,11.30000019,70.12000275,61586.14,4.400000095,35300,394,38900,278,389,4900,162,0.603571415,3
0.379999995,3.589999914,41.40999985,5.690000057,76.68000031,56468.26,4.599999905,27500,570,36600,280,611,5000,307,0.567120612,1
0.189999998,8.369999886,17.79000092,10.44999981,81.51000214,66085.54,3.859999895,33000,103,30500,13,72,6600,251.583178726036,0.602409554380489,3
0.479999989,13.89999962,49.77999878,5.369999886,58.97999954,51468.52,5.590000153,25800,1201,37500,672,3902,6300,424,0.58897382,1
0.519999981,8.829999924,14.97999954,7.320000172,83.30000305,59196.72,4.409999847,32100,1464,37800,972,2739,4400,1026,0.531971872,1
0.460000008,13.81000042,29.54000092,4.489999771,83.23999786,58643.73,6.349999905,29600,766,33600,505,1906,3600,580,0.514161229,1
0.430000007,5.199999809,26.65999985,12.44999981,68.45999908,74131.88,3.75999999,50700,315,73200,69,215,6000,133,0.687861264,2
0.790000021,13.35999966,59.43000031,4.349999905,51.27999878,41078.15,6.179999828,23000,118,26900,96,472,4200,208,0.42714572,1
0.620000005,11.03999996,40.04999924,5.789999962,69.76000214,50973.76,4.659999847,20600,53,26800,24,36,1100,213,0.384164214,1
0.319999993,4.340000153,27.78000069,8.880000114,79.37000275,73950.46,3.829999924,45100,1284,66100,123,1293,9900,208,0.781374216,2
0.360000014,5.96999979,44.36999893,3.829999924,78.36000061,46274.57,7.829999924,31100,1897,35700,1170,2402,4800,760,0.556013465,1
